well,Row,Column,BioRep,pH,Batch,Plate,Number,Species,Strain,Protocol,BatchN,OD
A7,A,7,A,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0589
B7,B,7,A,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0588
C7,C,7,A,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0783
D7,D,7,B,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0645
E7,E,7,B,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0641
F7,F,7,B,3.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0678
G7,G,7,Blank,3.5,1A1,0102,Blank,NA,NA,NA,NA,0.0574
H7,H,7,A,7,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.5825
A8,A,8,A,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0658
B8,B,8,A,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0656
C8,C,8,A,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0826
D8,D,8,B,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0672
E8,E,8,B,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1133
F8,F,8,B,4,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0755
G8,G,8,Blank,4,1A1,0102,Blank,NA,NA,NA,NA,0.0642
H8,H,8,A,7,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.5944
A9,A,9,A,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0941
B9,B,9,A,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0976
C9,C,9,A,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1013
D9,D,9,B,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0974
E9,E,9,B,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1142
F9,F,9,B,4.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0999
G9,G,9,Blank,4.5,1A1,0102,Blank,NA,NA,NA,NA,0.0998
H9,H,9,A,7,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.6083
A10,A,10,A,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0745
B10,B,10,A,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0773
C10,C,10,A,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0752
D10,D,10,B,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.075
E10,E,10,B,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0733
F10,F,10,B,5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.0819
G10,G,10,Blank,5,1A1,0102,Blank,NA,NA,NA,NA,0.0739
H10,H,10,B,7,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.6104
A11,A,11,A,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1741
B11,B,11,A,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1917
C11,C,11,A,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1715
D11,D,11,B,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1806
E11,E,11,B,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1645
F11,F,11,B,5.5,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.1466
G11,G,11,Blank,5.5,1A1,0102,Blank,NA,NA,NA,NA,0.0527
H11,H,11,B,7,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.5882
A12,A,12,A,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.2933
B12,B,12,A,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.3253
C12,C,12,A,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.34
D12,D,12,B,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.3376
E12,E,12,B,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.3609
F12,F,12,B,6,1A1,0102,2,Gardnerella sp. 3,C0040C2,1,1,0.3093
G12,G,12,Blank,6,1A1,0102,Blank,NA,NA,NA,NA,0.0505
H12,H,12,Blank,7,1A1,0102,Blank,NA,NA,NA,NA,0.0537
A1,A,1,A,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0622
B1,B,1,A,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.061
C1,C,1,A,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0607
D1,D,1,B,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0603
E1,E,1,B,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0601
F1,F,1,B,3.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0614
G1,G,1,Blank,3.5,1A1,0304,Blank,NA,NA,NA,NA,0.0556
H1,H,1,A,7,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.7295
A2,A,2,A,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0686
B2,B,2,A,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0707
C2,C,2,A,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0683
D2,D,2,B,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0683
E2,E,2,B,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0685
F2,F,2,B,4,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0685
G2,G,2,Blank,4,1A1,0304,Blank,NA,NA,NA,NA,0.0642
H2,H,2,A,7,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.7488
A3,A,3,A,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0986
B3,B,3,A,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1097
C3,C,3,A,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1092
D3,D,3,B,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1022
E3,E,3,B,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.099
F3,F,3,B,4.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1035
G3,G,3,Blank,4.5,1A1,0304,Blank,NA,NA,NA,NA,0.0946
H3,H,3,A,7,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.7819
A4,A,4,A,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0861
B4,B,4,A,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1127
C4,C,4,A,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1051
D4,D,4,B,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0924
E4,E,4,B,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0918
F4,F,4,B,5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1015
G4,G,4,Blank,5,1A1,0304,Blank,NA,NA,NA,NA,0.0699
H4,H,4,B,7,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.722
A5,A,5,A,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1084
B5,B,5,A,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1265
C5,C,5,A,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1087
D5,D,5,B,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1121
E5,E,5,B,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1013
F5,F,5,B,5.5,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.0993
G5,G,5,Blank,5.5,1A1,0304,Blank,NA,NA,NA,NA,0.0509
H5,H,5,B,7,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.8004
A6,A,6,A,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1522
B6,B,6,A,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1528
C6,C,6,A,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1654
D6,D,6,B,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1646
E6,E,6,B,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1883
F6,F,6,B,6,1A1,0304,3,Gardnerella vaginalis,14018,1,1,0.1588
G6,G,6,Blank,6,1A1,0304,Blank,NA,NA,NA,NA,0.0499
H6,H,6,Blank,7,1A1,0304,Blank,NA,NA,NA,NA,0.0541
A7,A,7,A,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0619
B7,B,7,A,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0692
C7,C,7,A,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0581
D7,D,7,B,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0643
E7,E,7,B,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0657
F7,F,7,B,3.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0894
G7,G,7,Blank,3.5,1A1,0304,Blank,NA,NA,NA,NA,0.0559
H7,H,7,A,7,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.2788
A8,A,8,A,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0813
B8,B,8,A,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.07
C8,C,8,A,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.084
D8,D,8,B,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0803
E8,E,8,B,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0832
F8,F,8,B,4,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0793
G8,G,8,Blank,4,1A1,0304,Blank,NA,NA,NA,NA,0.0629
H8,H,8,A,7,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3316
A9,A,9,A,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1069
B9,B,9,A,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1004
C9,C,9,A,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0991
D9,D,9,B,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1129
E9,E,9,B,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1036
F9,F,9,B,4.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1032
G9,G,9,Blank,4.5,1A1,0304,Blank,NA,NA,NA,NA,0.0985
H9,H,9,A,7,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.4655
A10,A,10,A,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1542
B10,B,10,A,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0819
C10,C,10,A,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0891
D10,D,10,B,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.1133
E10,E,10,B,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0994
F10,F,10,B,5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.0936
G10,G,10,Blank,5,1A1,0304,Blank,NA,NA,NA,NA,0.0698
H10,H,10,B,7,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.4412
A11,A,11,A,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.6166
B11,B,11,A,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3491
C11,C,11,A,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3248
D11,D,11,B,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.2524
E11,E,11,B,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.4554
F11,F,11,B,5.5,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3028
G11,G,11,Blank,5.5,1A1,0304,Blank,NA,NA,NA,NA,0.0514
H11,H,11,B,7,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3714
A12,A,12,A,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.564
B12,B,12,A,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.655
C12,C,12,A,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3727
D12,D,12,B,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3242
E12,E,12,B,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3561
F12,F,12,B,6,1A1,0304,4,Gardnerella sp. 8,C0056B5,1,1,0.3244
G12,G,12,Blank,6,1A1,0304,Blank,NA,NA,NA,NA,0.0509
H12,H,12,Blank,7,1A1,0304,Blank,NA,NA,NA,NA,0.0542
A1,A,1,A,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0675
B1,B,1,A,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0666
C1,C,1,A,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0666
D1,D,1,B,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0653
E1,E,1,B,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0657
F1,F,1,B,3.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0671
G1,G,1,Blank,3.5,1A1,0506,Blank,NA,NA,NA,NA,0.0553
H1,H,1,A,7,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.6959
A2,A,2,A,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0684
B2,B,2,A,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0685
C2,C,2,A,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0691
D2,D,2,B,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0685
E2,E,2,B,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0693
F2,F,2,B,4,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0687
G2,G,2,Blank,4,1A1,0506,Blank,NA,NA,NA,NA,0.0622
H2,H,2,A,7,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.7193
A3,A,3,A,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1055
B3,B,3,A,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1542
C3,C,3,A,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1244
D3,D,3,B,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1081
E3,E,3,B,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1057
F3,F,3,B,4.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.10780000000000001
G3,G,3,Blank,4.5,1A1,0506,Blank,NA,NA,NA,NA,0.0953
H3,H,3,A,7,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.736
A4,A,4,A,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0957
B4,B,4,A,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1472
C4,C,4,A,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1079
D4,D,4,B,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1076
E4,E,4,B,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1062
F4,F,4,B,5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1155
G4,G,4,Blank,5,1A1,0506,Blank,NA,NA,NA,NA,0.0713
H4,H,4,B,7,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.7508
A5,A,5,A,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.0896
B5,B,5,A,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1438
C5,C,5,A,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.133
D5,D,5,B,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1318
E5,E,5,B,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1145
F5,F,5,B,5.5,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1348
G5,G,5,Blank,5.5,1A1,0506,Blank,NA,NA,NA,NA,0.0509
H5,H,5,B,7,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.7892
A6,A,6,A,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1265
B6,B,6,A,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1616
C6,C,6,A,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.193
D6,D,6,B,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.2103
E6,E,6,B,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.1979
F6,F,6,B,6,1A1,0506,5,Gardnerella swidsinskii,Gv5-1,1,1,0.2008
G6,G,6,Blank,6,1A1,0506,Blank,NA,NA,NA,NA,0.0501
H6,H,6,Blank,7,1A1,0506,Blank,NA,NA,NA,NA,0.0545
A7,A,7,A,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.062
B7,B,7,A,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0648
C7,C,7,A,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0715
D7,D,7,B,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0706
E7,E,7,B,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0711
F7,F,7,B,3.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0687
G7,G,7,Blank,3.5,1A1,0506,Blank,NA,NA,NA,NA,0.0561
H7,H,7,A,7,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.7577
A8,A,8,A,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.07
B8,B,8,A,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0831
C8,C,8,A,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0864
D8,D,8,B,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0991
E8,E,8,B,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0908
F8,F,8,B,4,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.0862
G8,G,8,Blank,4,1A1,0506,Blank,NA,NA,NA,NA,0.0628
H8,H,8,A,7,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.769
A9,A,9,A,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1053
B9,B,9,A,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1413
C9,C,9,A,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1335
D9,D,9,B,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1696
E9,E,9,B,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1617
F9,F,9,B,4.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1506
G9,G,9,Blank,4.5,1A1,0506,Blank,NA,NA,NA,NA,0.0968
H9,H,9,A,7,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.7452
A10,A,10,A,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1433
B10,B,10,A,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.223
C10,C,10,A,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.186
D10,D,10,B,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2113
E10,E,10,B,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2242
F10,F,10,B,5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.1581
G10,G,10,Blank,5,1A1,0506,Blank,NA,NA,NA,NA,0.071
H10,H,10,B,7,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.847
A11,A,11,A,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2064
B11,B,11,A,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2199
C11,C,11,A,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2294
D11,D,11,B,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.303
E11,E,11,B,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2906
F11,F,11,B,5.5,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.238
G11,G,11,Blank,5.5,1A1,0506,Blank,NA,NA,NA,NA,0.0513
H11,H,11,B,7,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.92490000000000006
A12,A,12,A,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2642
B12,B,12,A,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.3022
C12,C,12,A,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.2512
D12,D,12,B,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.4107
E12,E,12,B,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.4175
F12,F,12,B,6,1A1,0506,6,Gardnerella vaginalis,315-A,1,1,0.4062
G12,G,12,Blank,6,1A1,0506,Blank,NA,NA,NA,NA,0.051
H12,H,12,Blank,7,1A1,0506,Blank,NA,NA,NA,NA,0.0544
A1,A,1,A,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0599
B1,B,1,A,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0598
C1,C,1,A,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0608
D1,D,1,B,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0599
E1,E,1,B,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0611
F1,F,1,B,3.5,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0617
G1,G,1,Blank,3.5,1A1,0708,Blank,NA,NA,NA,NA,0.0565
H1,H,1,A,7,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.613
A2,A,2,A,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0694
B2,B,2,A,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0705
C2,C,2,A,4,1A1,0708,7,Gardnerella piotii,JCP8066,1,1,0.0704
